Name,Category,Type,XAxis,YAxis,
Paid Notice: Deaths   PARKER  BEATRICE D..txt, class_7, JUNK, -29.9739449909, -4.70367890564,
Metro Briefing | New York: Montgomery: Pilot Killed In Plane Crash.txt, class_3, JUNK, -12.7677168825, -6.86349589981,
Spare Times: Dec. 15 - Dec. 21; 'UNSILENT NIGHT'.txt, class_5, JUNK, 8.82184830186, 15.0447509053,
Paid Notice: Deaths   LATHAM  W. NICHOLS.txt, class_2, JUNK, -4.33158952062, 4.22587506119,
Spare Times: Dec. 15 - Dec. 21; For Children.txt, class_8, JUNK, -14.3949098437, 12.7806498901,
National Briefing | Southwest: Texas: Report Criticizes Care Given To Children In State Custody.txt, class_3, JUNK, 4.05406356052, -19.0621179957,
GARDEN Q.&A..txt, class_4, JUNK, 17.3482964841, 8.62674319375,
Keeping Faith With Ethics  And Voters.txt, class_2, JUNK, -4.43650663767, -9.84667701294,
Rodriguez Talks Retirement and Attracts Silence.txt, class_5, JUNK, 0.83135941654, 21.9309933693,
It's Official: No Condos Next to Reader's Digest.txt, class_3, JUNK, 2.8991337518, -11.471600647,
The Jets' Miller Discovers the Adolescent Within.txt, class_5, JUNK, -0.299457062743, 22.080756885,
Street Scene; Back of the Envelope.txt, class_8, JUNK, -18.7161307454, 11.5858452548,
OFF THE DRIBBLE.txt, class_5, JUNK, -6.27999829653, 20.8491122744,
In the N.F.L.  Just Being Good Can Be Enough.txt, class_5, JUNK, -0.77749222111, 26.5764812939,
BRUNO IS SUBJECT OF F.B.I. INQUIRY.txt, class_0, JUNK, -7.78267430713, -18.2993027408,
Metro Briefing | New Jersey: Trenton: State Studying Test Scores.txt, class_0, JUNK, 10.7100665787, -18.5844392493,
Paid Notice: Deaths   GOMPRECHT  ROBERT FEELEY.txt, class_7, JUNK, -28.2826952359, -4.61558402126,
After a 13-Year Wait  Detroit Wins in New Jersey.txt, class_5, JUNK, -5.28529227386, 25.264740275,
Early Mammals Took to the Air  Fossil Suggests.txt, class_6, JUNK, 8.13994297705, -3.33919963792,
Russian Gold Mine Operator Lists in London.txt, class_6, JUNK, 8.95097546369, -10.1759857186,
Gay and Evangelical  Seeking Paths of Acceptance.txt, class_9, JUNK, 14.3355226837, 17.9514396099,
Paid Notice: Deaths   WEINSTEIN  SAMUEL.txt, class_1, JUNK, -32.1607311198, 5.53747972475,
Judge Refuses to Split Trial In U.S. Case on Tax Shelters.txt, class_0, JUNK, 2.86015207535, -22.7481662976,
Plan Is Changed for Arranging Names on Trade Center Memorial.txt, class_2, JUNK, 8.81534140163, 5.1948487164,
National Briefing | Rockies: Utah: Polygamist Is Ordered To Stand Trial.txt, class_2, JUNK, -7.10803965626, -5.9648993642,
TBR: Inside the List.txt, class_2, JUNK, -0.0533960485247, 10.5776176866,
The Bookstore Was Dead. Like a Doornail. But Who Killed It? There Were Lots of Suspects..txt, class_2, JUNK, 4.07411765178, 15.3346562573,
Military Role in U.S. Embassies Creates Strains  Report Says.txt, class_0, JUNK, 7.60764005681, -25.3020394747,
Tilting At Lampposts.txt, class_2, JUNK, 5.20620248524, 9.42039937297,
TODAY IN BUSINESS.txt, class_6, JUNK, 12.3636914532, -10.5298125303,
Paid Notice: Deaths   ROSENBERG  LOUIS.txt, class_7, JUNK, -23.0195111509, -2.01641150494,
Eli Lilly Said To Play Down Risk of Top Pill.txt, class_4, JUNK, 24.6420093531, -8.70841034081,
Metro Briefing | New Jersey: East Orange: Man Stabbed To Death.txt, class_3, JUNK, -15.7777826673, -6.06976273801,
Paid Notice: Memorials   GABEL  FAYE.txt, class_9, JUNK, 14.2802781405, 27.3917614297,
Paid Notice: Deaths  EVANS  CHARLES  MARTHA.txt, class_1, JUNK, -35.7239421173, 8.14215063937,
THE WEEK AHEAD: Dec. 17 - 23; ART.txt, class_2, JUNK, -1.98814435591, 5.00118975493,
Yankees Are Taking Step to Left.txt, class_5, JUNK, -6.74601225339, 19.2405371839,
Hoping a Wider Highway Can Save Their Livelihoods.txt, class_6, JUNK, 7.91961123172, -4.10233915787,
The Synthetic Jordan Era Has Lost Its Air.txt, class_5, JUNK, 2.93438284193, 20.2668828351,
Greeks Hail Getty Museum's Pledge to Return Treasures.txt, class_0, JUNK, -6.11454558035, -15.0430522636,
With No Kicks From Cocaine  Students Halt A Trademark.txt, class_2, JUNK, 10.2428889714, 0.0568077917938,
Paid Notice: Deaths   KANTOR  EILEEN.txt, class_4, JUNK, -20.5459978884, 3.28726165234,
New Work Reflects a Company's Image  White Dresses and All.txt, class_2, JUNK, -1.30883856649, 4.48201820508,
Paid Notice: Deaths   ZURKOW  GEORGE A.  D.D.S..txt, class_7, JUNK, -25.9529731327, -4.10151753707,
Paid Notice: Deaths   CROPSEY  LILIAN  NEE LEVY.txt, class_1, JUNK, -36.6725990324, 1.76993209721,
A Public Health Doctor Caught Up in an E. Coli Mystery.txt, class_4, JUNK, 9.13978720165, 12.097712596,
PROPERTY VALUES: What You Get for...$12 Million.txt, class_8, JUNK, -14.3756724459, 10.3793875606,
It Looks Like a Village Loft but Acts Like a Home Store.txt, class_8, JUNK, -13.4118350104, 10.3560415869,
Arts  Briefly; Letter From Carter.txt, class_0, JUNK, -3.98900337477, -18.910302888,
Researchers Find Surprise In Makeup Of a Comet.txt, class_6, JUNK, 9.10786712991, -3.05278155674,
Paid Notice: Deaths   HANDLEMAN  SALLY.txt, class_7, JUNK, -30.0692211663, -6.78802979565,
CUBAN DEFECTOR TO JOIN YANKEES.txt, class_5, JUNK, -7.36028956515, 19.320469483,
Paid Notice: Deaths   SIMON  BERNARD (BUZZY).txt, class_7, JUNK, -26.1923261199, 2.24715930428,
Defense in C.I.A. Leak Case Will Call Cheney to Testify.txt, class_0, JUNK, -8.05257841562, -17.8411962426,
Court Orders Lawyer to Return Documents About an Eli Lilly Drug.txt, class_0, JUNK, 4.49011204619, -23.433360344,
Paid Notice: Deaths   ZATLOW  DAVID.txt, class_7, JUNK, -30.2051568208, -3.07677313656,
The Locked Park Kept Our Kids Safe.txt, class_4, JUNK, 16.3086816541, 15.5429857116,
METROPOLITAN DIARY.txt, class_9, JUNK, 11.0965986036, 22.631295638,
