Name,Category,Type,XAxis,YAxis,
email 2243 Car in garage Let your Car Insurance pay for your travel expenses.txt, class_9, JUNK, -5.74313220939, 0.76773431003,
email 1758 People from Wall Street Club BITS Pilani Atrenta and Diimex
 Digital Image Exchange looked at your profile.txt, class_1, JUNK, -18.2914821088, 19.0471420336,
email 813 Fwd Sponsored Email Win a VIP trip to Lollapalooza.txt, class_0, JUNK, 7.78433607454, -9.75525798197,
email 920 See Varuns connections experience and more.txt, class_1, JUNK, -25.9534173319, 31.0867294525,
email 2308 Amitabh Kumar invited you to a conversation on Hangouts.txt, class_9, JUNK, -24.7079820051, -2.43088902786,
email 2561 Continue Your Studies with Berklee Online and Save 300 on Tuition.txt, class_2, JUNK, -42.0142195891, -13.5906017722,
email 372 Your Amazoncom order has shipped 11449924133057866.txt, class_1, JUNK, -8.85157661471, 25.0144902958,
email 3054 Instr Note The Autograder is now out.txt, class_0, JUNK, 15.9377975849, -12.5764692272,
email 1403 UTF8Q9FamilyGetawaysTheyE28099llLove.txt, class_5, JUNK, 16.1265077298, 23.8967451838,
email 505 Receipt from Momogoose MIT.txt, class_9, JUNK, -24.7191869571, 8.07452415878,
email 1676 Activity Digest since 0hours ago for DEVFEST 2014 on Piazza.txt, class_3, JUNK, 5.70633928662, 55.9455859463,
email 2268 Jimi Hendrix  Hey Joe  Dallas  February 1968 from Jimi Hendrix.txt, class_0, JUNK, 1.32393776222, 11.2185632698,
email 148 Installing custom kernel on Nexus 7.txt, class_0, JUNK, 18.8377251953, -8.26235781785,
email 1079 Our Role As A Chief Innovation Officer.txt, class_0, JUNK, 2.086757778, -20.6713513049,
email 1125 33 Off Vitamix Reconditioned Blender Samsung Gear Fit Watch TRX
 HOME SuspensionTraining Kit  More.txt, class_5, JUNK, -5.17679239059, 31.7344332878,
email 1872 20 discussions on LinkedIn.txt, class_7, JUNK, -1.86391877481, -45.0827606001,
email 1427 See Viswanaath Vishs connections experience and more.txt, class_0, JUNK, -7.99194011008, -22.4079189061,
email 1459 PwC Finding  MCX row Around Rs 900 crore spent in transactions
 with hundreds of related parties.txt, class_7, JUNK, 4.96195288765, -22.5259160372,
email 1324 New announcement from Spring 2014 HackNY Student Hackathon Dinner is
 Served and hackNY Masters.txt, class_7, JUNK, -18.1166175041, -22.8939791845,
email 887 20 in Exclusive Savings for your Philadelphia Trip.txt, class_2, JUNK, -34.6877473788, 17.9284925288,
email 200 Custom wait error due to destroy.txt, class_0, JUNK, 17.3651405071, -6.50134346617,
email 757 utf8Q2020off20on20KFC.txt, class_2, JUNK, 16.5517208979, 15.8511258267,
email 1900 Get Tableau Desktop for free as a student.txt, class_2, JUNK, 4.93125450967, -2.63860280912,
email 1644 Re networkplanner UI Bug minigrid fuel and battery storage cost
 not displaying properly 98.txt, class_0, JUNK, 5.37514457472, -7.2568664191,
email 241 utf8Q620good20reasons20to20order20food20online.txt, class_2, JUNK, 11.256916705, 13.1129093965,
email 288 NYC Cohousing Update.txt, class_8, JUNK, -47.4529106901, -0.844722189673,
email 443 Notre Dame vs Syracuse Football  Radio City Christmas Spectacular
  Broadway Musical Rock of Ages.txt, class_0, JUNK, 12.3648934156, -0.345348972537,
