Name,Category,Type,XAxis,YAxis,
Catherine Rodamer  Adam Green.txt, class_6, JUNK, -16.3071567591, 62.8907679489,
Jina Choi  Lee Hsu.txt, class_0, JUNK, 88.7953415116, -120.811009323,
Wendy Toll  Douglas Topkis.txt, class_1, JUNK, 7.73408516009, 115.937794657,
Sara Leopold  Mitchell Spinnell.txt, class_7, JUNK, -35.9170835048, 143.034814309,
Cary Paras  Sid Garbanzos.txt, class_8, JUNK, 112.25311689, -90.9770632717,
Denise Albert  Jordan Fisch.txt, class_3, JUNK, -82.8860959855, 161.279994919,
Sara Wolk  Scott Weiner.txt, class_1, JUNK, 38.1504218062, 102.307403123,
Tanya Rulon-Miller  Stephen Schlemmer.txt, class_5, JUNK, 55.0116456149, 162.296941358,
Judith Berman  David Kohn.txt, class_9, JUNK, 67.3252857396, -148.595671729,
Barbara Sansone  Jerrold Schwabe.txt, class_4, JUNK, -133.536488608, -194.356254799,
Amy Silver  Martin Kramer.txt, class_2, JUNK, -100.623071865, -193.007717192,
