Name,Category,Type,XAxis,YAxis,
137 Re playawsutils Handle temporary AWS credentials 6.txt, class_12, JUNK, 0.64533159704, -13.013290327,
173 Activity Digest since 302AM for COMS W4118 on Piazza.txt, class_7, JUNK, -14.9894640357, -29.0997168066,
749 utf8Q2020off20on20KFC.txt, class_1, JUNK, -17.5394048056, 29.294632883,
2231 Amitabh Kumar is inviting you to join his video call.txt, class_1, JUNK, -28.6985731839, 30.3641048879,
957 Fight for Copyright Community.txt, class_0, JUNK, 4.00462228008, 27.1138971071,
209 Your Amazoncom order of Nexus 7 from Google.txt, class_9, JUNK, -12.8019429579, 21.9080516649,
1790 UTF8BSHVsdCBNYXN0ZXIgUHJvZ3JhbXMgfCBGaW5hbmNpYWwgQWlkIERl
 UTF8BYWRsaW5lIOKAlCBKYW51YXJ5IDE5dGgsIDIwMTQ.txt, class_6, JUNK, -20.7166818338, 10.1098900833,
104 Instr Note this weeks reader report.txt, class_7, JUNK, 8.15407373964, -20.0251220019,
229 Was Columbia Worth It Who Was Your Favorite Professor.txt, class_11, JUNK, -43.0838343487, 9.57970651506,
683 New content on Columbia University in the City of New York.txt, class_10, JUNK, 4.2329493815, -9.46642734088,
1963 Save 14 in Club World and
 First in our 3 day sale.txt, class_12, JUNK, -1.36330202521, -16.5167393153,
1205 6C4.txt, class_5, JUNK, 15.4456381023, 20.2731226051,
378 BLUE MAN GROUP AT THE ASTOR PLACE THEATRE Only a few days away.txt, class_13, JUNK, 22.4537010649, -5.05830315046,
2162 Added to topic Jimi Hendrix Jimi Hendrix Experience Box Set World Premier Radio Show.txt, class_12, JUNK, 2.14955912671, -14.6284709446,
1544 20140320123144jpg.txt, class_1, JUNK, -22.6887976175, 30.438155944,
991 Larry Sanger cofounder of Wikipedia will be on CF Networking Events
 July 18th.txt, class_13, JUNK, 12.8500190768, -1.94294732106,
1955 How to Build an IT Audit Plan.txt, class_0, JUNK, 7.33115206318, 25.6430592112,
1186 Confirmation of Enrollment in COMS W4231 on Piazza.txt, class_4, JUNK, -5.69377635823, 10.6726812674,
626 Labor Day Deals.txt, class_3, JUNK, 7.11166293692, 11.0509271586,
984 Cool Looks for Your Best Summer Ever.txt, class_4, JUNK, 3.83347060842, -1.1454155529,
973 This one is gold.txt, class_13, JUNK, 4.14099609564, -20.7346734035,
1397 Search for suspect accounting  Can analytical models help .txt, class_5, JUNK, 10.8969254441, 10.92686445,
2149 Upcoming events we picked just for you.txt, class_7, JUNK, -0.65688157421, -27.371144306,
