Name,Category,Type,XAxis,YAxis,
Paid Notice: Deaths   PARKER  BEATRICE D..txt, class_2, JUNK, -36.7336215619, 26.8231168439,
Covent Garden Rescued  American Is Going Home.txt, class_9, JUNK, -3.03879858544, 6.03073141028,
A Community Center West Hollywood Can Love.txt, class_0, JUNK, -1.50321713657, -13.4896967905,
Accidents at Uranium Plant Raise Concern in Australia.txt, class_9, JUNK, 20.9511044525, -6.93398183891,
2001 Temperatures Average Above Normal.txt, class_7, JUNK, 38.4306630152, -14.7161114242,
S.E.C. LEADER SEES OUTSIDE MONITORS FOR AUDITING FIRMS.txt, class_9, JUNK, 26.8424502899, 4.90449229357,
Paid Notice: Deaths  GORODY  TONY.txt, class_0, JUNK, -32.0920176481, -3.17406462692,
Nuclear Reactors as Terrorist Targets.txt, class_5, JUNK, 22.5468352452, -7.07733978437,
Owners Give Approval To Sale of the Red Sox.txt, class_9, JUNK, -0.227776866684, -30.4347760954,
Paid Notice: Deaths  REEMTSMA  KEITH  M.D..txt, class_4, JUNK, -13.4677382208, 17.1512569725,
High Spirits and Lofty Ideals at Queens.txt, class_3, JUNK, -6.20232852921, 7.89223749874,
Barbara Sansone  Jerrold Schwabe.txt, class_4, JUNK, -14.6421013544, 34.4733635538,
After Yellow-Cab Driver Dies  Man Is Charged With Assault.txt, class_1, JUNK, 1.30339580966, 32.5356683903,
Keeping Faith With Ethics  And Voters.txt, class_3, JUNK, 6.49297347877, 13.5861977434,
Britain Holds Dutch Driver In the Deaths Of Immigrants.txt, class_1, JUNK, 7.36568532037, 33.7356699804,
Paid Notice: Deaths  ZOLNA  DR. MARTIN (MIKE).txt, class_2, JUNK, -34.3251942331, 23.1155965391,
Of Eggs and Single Baskets.txt, class_3, JUNK, -5.40028055645, -5.63300364323,
Political Briefing; Woes Keep Piling Up For Condit Campaign.txt, class_9, JUNK, 7.61970704283, 15.0691510173,
Shhhhhh: Alfonzo Is Stirring The Mets.txt, class_6, JUNK, -1.15204868354, -39.4920833089,
Health Center Expands Space and Services in Peekskill.txt, class_7, JUNK, 24.5639015896, -3.44586021615,
Kirsten Buchenberger  Christopher Marchioli.txt, class_4, JUNK, -13.8961146135, 35.4763110676,
When All the World's a Phone Booth.txt, class_5, JUNK, 2.64073830773, -21.4379063331,
The Art of Cool In a Hot Spot.txt, class_3, JUNK, -12.3532727151, -2.96529856131,
The Jets' Miller Discovers the Adolescent Within.txt, class_6, JUNK, -12.972587111, -31.0637950166,
Microsoft Files Sharp Critique Of a Breakup.txt, class_5, JUNK, 33.9378081896, 10.7418120834,
Beyond Ireland to a Wider Yet Often Bleak World.txt, class_0, JUNK, -25.6380455957, -5.80644817022,
Tolerance  and Its Absence  In Westchester County.txt, class_3, JUNK, -4.34330391449, 1.35308606197,
Reading Scores Improve Citywide; Still  Only 41% Meet Standards.txt, class_5, JUNK, 4.07225643715, 1.08978754697,
2001's Top Albums.txt, class_7, JUNK, -27.9738869209, -15.5109190362,
Paid Notice: Deaths   SPOSATO  ANTHONY J..txt, class_4, JUNK, -19.7101047875, 19.6958634122,
Paid Notice: Deaths  GREENBERG  ELEONORE GOLDIE.txt, class_2, JUNK, -37.533615, 24.0244868535,
Russia Says It Halted Attacks in Chechnya.txt, class_9, JUNK, 17.6039043632, 29.5109312978,
Exhibitions and Tours.txt, class_0, JUNK, -36.5245461832, -0.443947852317,
Mrs. Clinton's Shadow.txt, class_9, JUNK, 13.8262168793, 16.1675411674,
Early Mammals Took to the Air  Fossil Suggests.txt, class_0, JUNK, 1.53725280302, -15.9083106378,
Firefighters Block a Plan for Statue in Brooklyn.txt, class_9, JUNK, 12.337294337, -2.44972374867,
Court Order Blocks Township's Deer-Killing Program.txt, class_5, JUNK, 11.8396952782, -0.73030353027,
Pages in the Hirshberg Sketchbook.txt, class_0, JUNK, -1.2796183113, -22.0882993336,
Clinton  in Israel  Chides Arafat for Letting Peace Slip Away.txt, class_9, JUNK, 16.998511487, 23.5722847564,
Carnegie's Jazz Band: Assessing The Losses.txt, class_0, JUNK, -29.903749335, -7.79537862111,
The Human Encroachers.txt, class_3, JUNK, 2.62102166529, -14.2362830228,
Paid Notice: Deaths   WEINSTEIN  SAMUEL.txt, class_4, JUNK, -15.7868713626, 24.6077262755,
Film Intersections.txt, class_0, JUNK, -15.382336513, -11.3286423491,
Water Pressure: Never Higher.txt, class_3, JUNK, -7.99199119145, -8.22972276881,
To Be Alicia Keys: Young  Gifted and in Control.txt, class_3, JUNK, -13.3986040946, 1.80305353663,
For Future Archbishop  a Beanie by Many Other Names Fits Just as Well  or Better.txt, class_3, JUNK, 0.708216119875, 10.5402666097,
F.A.A. Faults Alaska Airlines but Will Not Shut It Down.txt, class_5, JUNK, 19.3172822108, -1.99061853953,
Paid Notice: Deaths  KREWER  JULIE  ANN.txt, class_8, JUNK, -20.5260022087, 16.8927871146,
6-Year Quest for Land on East Side.txt, class_5, JUNK, 12.1141159115, -5.04896862928,
Watching a City  And the Days  Pass Slowly By; Called Up for 3 Months  Guarding New York's Gates.txt, class_5, JUNK, 8.69246957107, -1.09223177919,
New Encryption Strategy: Typing Rhythm.txt, class_5, JUNK, 15.8023749669, -26.8527950182,
Echoes of Sept. 11: How We Changed.txt, class_3, JUNK, 6.90405531954, 9.41922829389,
Perfection Is Distant Memory for Cone.txt, class_6, JUNK, -0.927712340302, -39.9527312851,
A Tender Kiss  A Tough Goodbye.txt, class_4, JUNK, -18.4597927023, 29.2913732747,
TODAY IN BUSINESS.txt, class_7, JUNK, 27.2330092327, -23.3905673383,
The Name's a Hint of the Lures That Await.txt, class_0, JUNK, -8.82838599729, -20.7595927211,
A Quiet Sigh At the Heart Of Bossa Nova.txt, class_0, JUNK, -32.8739668555, -6.80531901697,
Poached Chicken Takes Flight.txt, class_0, JUNK, -6.80714837153, -22.1867083968,
In the current Internet wilderness  some consumer community sites are hanging on  and even making money..txt, class_5, JUNK, 17.4138506503, -22.3628153828,
Agency Backs Gas Drilling At New National Monument.txt, class_5, JUNK, 18.7951135753, -6.13229853369,
Sheffield Homers Twice.txt, class_6, JUNK, 0.508679593687, -42.4320685197,
